id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jenis_pekerjaan,jumlah_penduduk,satuan,semester,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,BELUM BEKERJA,3274,ORANG,1,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,APARATUR PEJABAT NEGARA,1140,ORANG,1,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,TENAGA PENGAJAR,293,ORANG,1,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,WIRASWASTA,6904,ORANG,1,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,PERTANIAN DAN PETERNAKAN,17,ORANG,1,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,NELAYAN,1,ORANG,1,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,AGAMA DAN KEPERCAYAAN,2,ORANG,1,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,PELAJAR DAN MAHASISWA,4966,ORANG,1,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,TENAGA KESEHATAN,112,ORANG,1,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,PENSIUNAN,607,ORANG,1,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,SUKASARI,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,LAINNYA,5021,ORANG,1,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,BELUM BEKERJA,3991,ORANG,1,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,APARATUR PEJABAT NEGARA,1377,ORANG,1,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,TENAGA PENGAJAR,389,ORANG,1,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,WIRASWASTA,8033,ORANG,1,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PERTANIAN DAN PETERNAKAN,16,ORANG,1,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,NELAYAN,0,ORANG,1,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,AGAMA DAN KEPERCAYAAN,11,ORANG,1,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PELAJAR DAN MAHASISWA,5720,ORANG,1,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,TENAGA KESEHATAN,134,ORANG,1,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PENSIUNAN,1092,ORANG,1,2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SUKASARI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,LAINNYA,5282,ORANG,1,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,BELUM BEKERJA,2091,ORANG,1,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,APARATUR PEJABAT NEGARA,526,ORANG,1,2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,TENAGA PENGAJAR,232,ORANG,1,2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,WIRASWASTA,3945,ORANG,1,2017
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PERTANIAN DAN PETERNAKAN,31,ORANG,1,2017
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,NELAYAN,0,ORANG,1,2017
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,AGAMA DAN KEPERCAYAAN,4,ORANG,1,2017
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PELAJAR DAN MAHASISWA,2718,ORANG,1,2017
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,TENAGA KESEHATAN,40,ORANG,1,2017
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PENSIUNAN,210,ORANG,1,2017
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,SUKASARI,32.73.01,SUKASARI,32.73.01.1003,ISOLA,LAINNYA,2880,ORANG,1,2017
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,BELUM BEKERJA,1937,ORANG,1,2017
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,APARATUR PEJABAT NEGARA,311,ORANG,1,2017
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,TENAGA PENGAJAR,94,ORANG,1,2017
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,WIRASWASTA,4096,ORANG,1,2017
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PERTANIAN DAN PETERNAKAN,7,ORANG,1,2017
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,NELAYAN,0,ORANG,1,2017
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKASARI,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,AGAMA DAN KEPERCAYAAN,5,ORANG,1,2017
