jenis_pekerjaan,tahun,median,p10,p90,mean,std
"AGAMA DAN
  KEPERCAYAAN",2026,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2027,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2028,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2029,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2030,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2031,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2032,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2033,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2034,0.0,0.0,0.0,0.0,0.0
"AGAMA DAN
  KEPERCAYAAN",2035,0.0,0.0,0.0,0.0,0.0
AGAMA DAN KEPERCAYAAN,2026,14347.076646235408,0.0,71446.13091210739,25889.42522677795,30646.358610686024
AGAMA DAN KEPERCAYAAN,2027,0.0,0.0,2424916.367215413,715783.0959766919,1461823.4301870242
AGAMA DAN KEPERCAYAAN,2028,0.0,0.0,52380377.81482024,18807097.060447473,66196589.388626374
AGAMA DAN KEPERCAYAAN,2029,0.0,0.0,503675667.2805229,432628248.0179664,2402163172.566734
AGAMA DAN KEPERCAYAAN,2030,0.0,0.0,1192732595.4089851,12909295501.761917,123327821374.50046
AGAMA DAN KEPERCAYAAN,2031,0.0,0.0,0.0,325190467502.76556,4363584144543.4497
AGAMA DAN KEPERCAYAAN,2032,0.0,0.0,0.0,5637305059913.361,90968469622091.94
AGAMA DAN KEPERCAYAAN,2033,0.0,-0.0,0.0,107344129585014.14,1481793892356078.5
AGAMA DAN KEPERCAYAAN,2034,0.0,0.0,0.0,1769352808972839.8,2.9861343513605856e+16
AGAMA DAN KEPERCAYAAN,2035,0.0,0.0,0.0,9.783891996825488e+16,2.705442203192996e+18
APARATUR PEJABAT NEGARA,2026,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2027,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2028,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2029,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2030,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2031,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2032,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2033,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2034,0.0,0.0,0.0,0.0,0.0
APARATUR PEJABAT NEGARA,2035,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2026,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2027,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2028,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2029,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2030,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2031,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2032,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2033,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2034,0.0,0.0,0.0,0.0,0.0
"APARATUR/PEJABAT
  NEGARA",2035,0.0,0.0,0.0,0.0,0.0
APARATUR/PEJABAT NEGARA,2026,71071.0,71071.0,71071.0,71071.0,0.0
APARATUR/PEJABAT NEGARA,2027,71071.0,71071.0,71071.0,71071.0,0.0
APARATUR/PEJABAT NEGARA,2028,71071.0,71071.0,71071.0,71071.0,0.0
APARATUR/PEJABAT NEGARA,2029,71071.0,71071.0,71071.0,71071.0,0.0
APARATUR/PEJABAT NEGARA,2030,71071.0,71071.0,71071.0,71071.0,0.0
